price,f3,volume,amount_cny,asset,f13,name,market_cap_cny,float_market_cap_cny,latest_shares,updated_epoch,data_date,data_source,fetched_at,candidate_rank,selected_for_enrichment,current_universe_only,historical_backtest_allowed
0.981,0.41,82650.0,8119362.0,563510,1,A500红利低波ETF易方达,300712805,300712805,306537008.0,1784275901,2026-07-17,eastmoney.etf_spot,2026-07-19T13:29:02,28,True,True,False
1.041,-0.48,153126.0,16056090.282,159589,0,红利ETF广发,257741195,257741195,247590005.0,1784273661,2026-07-17,eastmoney.etf_spot,2026-07-19T13:29:02,29,True,True,False
0.919,-2.03,70792.0,6569249.0,560250,1,红利质量ETF富国,253490534,253490534,275833008.0,1784275897,2026-07-17,eastmoney.etf_spot,2026-07-19T13:29:02,30,True,True,False
0.85,-1.73,232270.0,19893400.0,515460,1,红利质量ETF南方,249127357,249127357,293091008.0,1784275922,2026-07-17,eastmoney.etf_spot,2026-07-19T13:29:02,31,False,True,False
0.963,0.42,42326.0,4086640.0,563980,1,800红利低波ETF鑫元,199309221,199309221,206967000.0,1784275905,2026-07-17,eastmoney.etf_spot,2026-07-19T13:29:02,32,False,True,False
0.977,-0.31,92045.0,9049107.0,560720,1,红利低波100ETF工银,175418396,175418396,179548000.0,1784275912,2026-07-17,eastmoney.etf_spot,2026-07-19T13:29:02,33,False,True,False
1.56,0.97,53509.0,8339348.0,512530,1,沪深300红利ETF建信,159903120,159903120,102502000.0,1784275912,2026-07-17,eastmoney.etf_spot,2026-07-19T13:29:02,34,False,True,False
0.78,-1.64,127645.0,10015550.4,159708,0,红利ETF西部利得,151342079,151342079,194028306.0,1784273661,2026-07-17,eastmoney.etf_spot,2026-07-19T13:29:02,35,False,True,False
1.059,-0.38,44423.0,4744890.0,560020,1,红利ETF汇添富,137206158,137206158,129562000.0,1784275897,2026-07-17,eastmoney.etf_spot,2026-07-19T13:29:02,36,False,True,False
1.096,0.09,77569.0,8517406.0,563180,1,高股息ETF银华,125404320,125404320,114420000.0,1784275920,2026-07-17,eastmoney.etf_spot,2026-07-19T13:29:02,37,False,True,False
1.014,0.2,8621.0,877792.022,159228,0,红利低波ETF长城,113783670,113783670,112212692.0,1784273673,2026-07-17,eastmoney.etf_spot,2026-07-19T13:29:02,38,False,True,False
1.021,0.39,12648.0,1294785.4,159355,0,800红利低波ETF华宝,102339197,102339197,100234277.0,1784273682,2026-07-17,eastmoney.etf_spot,2026-07-19T13:29:02,39,False,True,False
0.838,-2.1,39321.0,3317004.0,560370,1,红利质量ETF易方达,100630392,100630392,120084000.0,1784275916,2026-07-17,eastmoney.etf_spot,2026-07-19T13:29:02,40,False,True,False
1.141,0.97,51191.0,5827918.1,159332,0,央企红利ETF富国,96439005,96439005,84521477.0,1784273673,2026-07-17,eastmoney.etf_spot,2026-07-19T13:29:02,41,False,True,False
1.096,-0.27,41097.0,4514849.0,560070,1,央企红利ETF汇添富,92461081,92461081,84362300.0,1784275899,2026-07-17,eastmoney.etf_spot,2026-07-19T13:29:02,42,False,True,False
0.983,-1.8,73093.0,7252103.0,561430,1,红利质量ETF博时,91146906,91146906,92723200.0,1784275911,2026-07-17,eastmoney.etf_spot,2026-07-19T13:29:02,43,False,True,False
0.982,0.31,16761.0,1649487.0,561680,1,A500红利低波ETF平安,67923958,67923958,69169000.0,1784275909,2026-07-17,eastmoney.etf_spot,2026-07-19T13:29:02,44,False,True,False
0.972,0.73,5776.0,560876.0,563590,1,A500红利低波动ETF国寿,67013957,67013957,68944400.0,1784275916,2026-07-17,eastmoney.etf_spot,2026-07-19T13:29:02,45,False,True,False
0.907,-1.52,39134.0,3598997.3,159188,0,红利100ETF景顺,64035907,64035907,70601882.0,1784273652,2026-07-17,eastmoney.etf_spot,2026-07-19T13:29:02,46,False,True,False
1.115,0.0,33978.0,3799814.0,561060,1,国企红利ETF华安,63069975,63069975,56565000.0,1784275922,2026-07-17,eastmoney.etf_spot,2026-07-19T13:29:02,47,False,True,False
1.055,-0.09,168311.0,17878290.0,515480,1,红利低波100ETF南方,53109439,53109439,50340700.0,1784275921,2026-07-17,eastmoney.etf_spot,2026-07-19T13:29:02,48,False,True,False
0.985,0.51,24927.0,2457229.2,159296,0,A500红利低波ETF华宝,49292297,49292297,50042941.0,1784273652,2026-07-17,eastmoney.etf_spot,2026-07-19T13:29:02,49,False,True,False
1.022,-1.06,16025.0,1654543.0,530880,1,红利国企ETF银河,46844392,46844392,45836000.0,1784275900,2026-07-17,eastmoney.etf_spot,2026-07-19T13:29:02,50,False,True,False
1.135,0.09,16345.0,1866411.8,159515,0,国企红利ETF鹏扬,42320326,42320326,37286631.0,1784273694,2026-07-17,eastmoney.etf_spot,2026-07-19T13:29:02,51,False,True,False
1.09,0.0,4590.0,503589.0,560520,1,红利低波100ETF大成,37878590,37878590,34751000.0,1784275917,2026-07-17,eastmoney.etf_spot,2026-07-19T13:29:02,52,False,True,False
0.992,0.51,26352.0,2625101.0,563690,1,红利低波ETF永赢,36586944,36586944,36882000.0,1784275903,2026-07-17,eastmoney.etf_spot,2026-07-19T13:29:02,53,False,True,False
1.015,0.2,7034.0,716736.0,563890,1,国企红利ETF创金合信,25208540,25208540,24836000.0,1784275915,2026-07-17,eastmoney.etf_spot,2026-07-19T13:29:02,54,False,True,False
