path,name,extension,size_bytes,modified_time,top_dir,doc_type,topic_tags,priority_hint,status,next_action
replication_reports\华泰AI选股框架与CSCV过拟合复盘.md,华泰AI选股框架与CSCV过拟合复盘.md,.md,2682,2026-05-23T12:07:52,replication_reports,markdown,foundation|ml,P0,new,deep_read
replication_reports\课程研究对象与条件期望择时复盘.md,课程研究对象与条件期望择时复盘.md,.md,2917,2026-05-23T11:57:26,replication_reports,markdown,foundation|timing,P0,new,deep_read
replication_reports\课程迭代材料与研究训练体系复盘.md,课程迭代材料与研究训练体系复盘.md,.md,1952,2026-05-23T12:11:15,replication_reports,markdown,foundation,P0,new,deep_read
strategy_lab\a_share_low_cost_factor_builder.py,a_share_low_cost_factor_builder.py,.py,12880,2026-05-23T21:34:34,strategy_lab,code,factor,P1,new,skim_then_extract
strategy_lab\ai_factor_mining.py,ai_factor_mining.py,.py,18280,2026-07-21T17:21:19,strategy_lab,code,factor|ml,P1,new,skim_then_extract
strategy_lab\analyst_expectation_factors.py,analyst_expectation_factors.py,.py,19908,2026-05-23T17:29:17,strategy_lab,code,factor,P1,new,skim_then_extract
strategy_lab\analyst_rating_factors.py,analyst_rating_factors.py,.py,8824,2026-05-23T11:48:33,strategy_lab,code,factor,P1,new,skim_then_extract
strategy_lab\backtest_overfit_pbo.py,backtest_overfit_pbo.py,.py,10787,2026-05-23T12:04:16,strategy_lab,code,backtest,P1,new,skim_then_extract
strategy_lab\behavioral_factor_models.py,behavioral_factor_models.py,.py,10036,2026-05-23T12:44:08,strategy_lab,code,factor|behavioral,P1,new,skim_then_extract
strategy_lab\conditional_factor_timing.py,conditional_factor_timing.py,.py,10294,2026-05-23T11:55:33,strategy_lab,code,factor|timing,P1,new,skim_then_extract
strategy_lab\factor_combination_tools.py,factor_combination_tools.py,.py,17157,2026-05-23T12:38:33,strategy_lab,code,factor,P1,new,skim_then_extract
strategy_lab\factor_crowding_monitor.py,factor_crowding_monitor.py,.py,17844,2026-05-22T22:12:51,strategy_lab,code,factor,P1,new,skim_then_extract
strategy_lab\factor_evaluation_template.py,factor_evaluation_template.py,.py,7604,2026-07-21T17:21:19,strategy_lab,code,factor,P1,new,skim_then_extract
strategy_lab\factor_factory_ledger.py,factor_factory_ledger.py,.py,7617,2026-05-23T20:41:54,strategy_lab,code,factor,P1,new,skim_then_extract
strategy_lab\factor_factory_runner.py,factor_factory_runner.py,.py,10503,2026-05-23T19:08:59,strategy_lab,code,factor,P1,new,skim_then_extract
strategy_lab\factor_factory_walk_forward.py,factor_factory_walk_forward.py,.py,17398,2026-05-23T21:34:34,strategy_lab,code,factor,P1,new,skim_then_extract
strategy_lab\factor_orthogonalization.py,factor_orthogonalization.py,.py,5546,2026-07-21T17:21:19,strategy_lab,code,factor,P1,new,skim_then_extract
strategy_lab\factor_premium_quantile_models.py,factor_premium_quantile_models.py,.py,9434,2026-05-23T17:05:42,strategy_lab,code,factor,P1,new,skim_then_extract
strategy_lab\factor_reduction_timing_models.py,factor_reduction_timing_models.py,.py,20821,2026-07-21T17:21:19,strategy_lab,code,factor|timing,P1,new,skim_then_extract
strategy_lab\factor_registry_audit.py,factor_registry_audit.py,.py,5194,2026-07-21T17:21:19,strategy_lab,code,factor,P1,new,skim_then_extract
strategy_lab\factor_timing_seasonality.py,factor_timing_seasonality.py,.py,9716,2026-05-23T11:36:46,strategy_lab,code,factor|timing,P1,new,skim_then_extract
strategy_lab\five_factor_pricing_and_tree_timing.py,five_factor_pricing_and_tree_timing.py,.py,15520,2026-05-23T17:35:12,strategy_lab,code,factor|timing,P1,new,skim_then_extract
strategy_lab\fundamental_factor_portfolios.py,fundamental_factor_portfolios.py,.py,29478,2026-05-23T17:28:54,strategy_lab,code,factor|portfolio|fund_etf,P1,new,skim_then_extract
strategy_lab\hirssm_v2_5_portfolio_risk_overlay.py,hirssm_v2_5_portfolio_risk_overlay.py,.py,34302,2026-05-24T23:51:19,strategy_lab,code,portfolio|risk,P1,new,skim_then_extract
strategy_lab\hirssm_v2_6_to_v2_9_risk_iteration.py,hirssm_v2_6_to_v2_9_risk_iteration.py,.py,41691,2026-05-25T00:21:54,strategy_lab,code,risk,P1,new,skim_then_extract
strategy_lab\hirssm_v3_32_macro_risk_budget_gate.py,hirssm_v3_32_macro_risk_budget_gate.py,.py,34167,2026-05-27T18:04:18,strategy_lab,code,risk|macro,P1,new,skim_then_extract
strategy_lab\hirssm_v3_3_to_v3_5_alpha_factory.py,hirssm_v3_3_to_v3_5_alpha_factory.py,.py,46781,2026-05-25T23:17:40,strategy_lab,code,factor,P1,new,skim_then_extract
strategy_lab\hirssm_v3_7_state_alpha_walkforward.py,hirssm_v3_7_state_alpha_walkforward.py,.py,25142,2026-05-26T20:30:54,strategy_lab,code,factor,P1,new,skim_then_extract
strategy_lab\hirssm_v3_8_risk_budget_overlay.py,hirssm_v3_8_risk_budget_overlay.py,.py,38651,2026-05-26T20:48:34,strategy_lab,code,risk,P1,new,skim_then_extract
strategy_lab\huatai_single_factor_test.py,huatai_single_factor_test.py,.py,29896,2026-05-23T12:31:54,strategy_lab,code,factor|ml,P1,new,skim_then_extract
strategy_lab\industry_quality_factor_models.py,industry_quality_factor_models.py,.py,10814,2026-05-23T17:35:12,strategy_lab,code,factor,P1,new,skim_then_extract
strategy_lab\long_hold_v4\backtest.py,backtest.py,.py,28573,2026-07-23T00:29:03,strategy_lab,code,backtest,P1,new,skim_then_extract
strategy_lab\multi_factor_research_framework.py,multi_factor_research_framework.py,.py,25879,2026-05-23T19:18:26,strategy_lab,code,factor,P1,new,skim_then_extract
strategy_lab\network_balance_price_passive_factors.py,network_balance_price_passive_factors.py,.py,14688,2026-05-23T17:39:55,strategy_lab,code,factor,P1,new,skim_then_extract
